Year,Millions_dollars_US,company
2018,5827.00,netflix
2017,3660.00,netflix
2016,2573.00,netflix
2015,2188.00,netflix
2014,1752.00,netflix
2013,1257.00,netflix
2012,957.00,netflix
2011,1165.00,netflix
2010,805.00,netflix
2009,591.00,netflix
2008,454.00,netflix
2018,46483.00,facebook
2017,35199.00,facebook
2016,23849.00,facebook
2015,15061.00,facebook
2014,10313.00,facebook
2013,5997.00,facebook
2012,3725.00,facebook
2011,2851.00,facebook
2010,1481.00,facebook
2009,554.00,facebook
2008,148.00,facebook
2018,77270.00,google
2017,65272.00,google
2016,55134.00,google
2015,46825.00,google
2014,40310.00,google
2013,33526.00,google
2012,28863.00,google
2011,24717.00,google
2010,18904.00,google
2009,14807.00,google
2008,13174.00,google
2018,72007.00,microsoft
2017,62310.00,microsoft
2016,58374.00,microsoft
2015,60542.00,microsoft
2014,59755.00,microsoft
2013,57464.00,microsoft
2012,56193.00,microsoft
2011,54366.00,microsoft
2010,50089.00,microsoft
2009,46282.00,microsoft
2008,48822.00,microsoft
2018,93731.00,amazon
2017,65932.00,amazon
2016,47722.00,amazon
2015,35355.00,amazon
2014,26236.00,amazon
2013,20271.00,amazon
2012,15122.00,amazon
2011,10789.00,amazon
2010,7643.00,amazon
2009,5531.00,amazon
2008,4270.00,amazon
2018,101839.00,apple
2017,88186.00,apple
2016,84263.00,apple
2015,93626.00,apple
2014,70537.00,apple
2013,64304.00,apple
2012,68662.00,apple
2011,43818.00,apple
2010,25684.00,apple
2009,17222.00,apple
2008,13197.00,apple